LA , Local authority name,DCS Address 1,DCS Address 2,DCS Address 3,DCS Town,DCS County,DCS Postcode
202,Camden London Borough Council,5 Pancras Square,0,0,0,London,N1C 4AG
203,Royal Borough of Greenwich Council,Woolwich Centre,35  Wellington Street,Woolwich,London,,SE18 6HQ
204,Hackney London Borough Council,1 Reading Lane,,0,0,London,E8 1GQ
205,Hammersmith & Fulham London Borough Council,Town Hall,Horton Street,0,0,London,W8 7NX
206,Islington London Borough Council,222 Upper Street,0,0,0,London,N1 1XR
207,Kensington & Chelsea Royal Borough Council,Town Hall,Horton Street,0,0,London,W8 7NX
208,Lambeth Council,Lambeth Town Hall,1st floor,"Brixton Hill, Brixton",London,,SW2 1RW
209,Lewisham London Borough,"1st Floor, Laurence House",1 Catford Road,0,0,London,SE6 4RU
210,Southwark London Borough Council,160 Tooley Street,,0,London,,SE1P 5LX
211,Tower Hamlets London Borough Council,5th Floor Mulberry Place,0,0,0,London,E14 2BG
212,Wandsworth Borough Council,The Town Hall,Wandsworth High Street,0,0,London,SW18 2PU
213,Westminster City Council,Westminster City Hall,64 Victoria Street,0,0,London,SW1E 6QP
301,Barking and Dagenham London Borough Council,1 Town Square,0,0,Barking,Essex,IG11 7LU
302,Barnet London Borough Council,Building 2,North London Business Park,Oakleigh Road South,0,London,N11 1NP
303,Bexley London Borough Council,Civic Offices,2 Watling Street,0,Bexleyheath,Kent,DA6 7AT
304,Brent London Borough Council,Brent Civic Centre,Engineers Way,0,Wembley,Middlesex,HA9 0FJ
305,Bromley London Borough Council,Bromley Civic Centre,Stockwell Close,,Bromley,Kent,BR1 3UH
306,Croydon London Borough Council,"9th Floor, Zone B",Bernard Weatherill House,8 Mint Walk,Croydon,Surrey,CR0 1EA
307,Ealing London Borough Council,Perceval House,14-16 Uxbridge Road,0,Ealing,London,W5 2HL
308,Enfield London Borough Council,"PO Box 56, Civic Centre",Silver Street,0,Enfield,Middlesex,EN1 3XQ
309,Haringey London Borough Council,2nd Floor,Riverpark House,225 High Road,Wood Green,London,N22 8HQ
310,Harrow London Borough Council,Civic Centre,Station Road,0,Harrow,Middlesex,HA1 2XF
